timestamp,elapsed_time(s),marker_id,distance(m),x(m),y(m),z(m),roll(deg),pitch(deg),yaw(deg)
2025-10-21 20:26:17.981,5.731,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:18.082,5.832,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:18.184,5.934,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:18.315,6.065,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:18.418,6.168,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:18.548,6.298,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:18.648,6.398,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:18.750,6.500,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:18.851,6.601,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:18.982,6.732,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:19.083,6.833,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:19.184,6.934,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:19.316,7.066,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:19.418,7.168,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:19.549,7.299,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:19.649,7.400,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:19.784,7.534,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:19.884,7.635,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:19.986,7.736,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:20.117,7.867,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:20.219,7.969,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:20.350,8.100,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:20.451,8.201,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:20.583,8.333,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:20.686,8.436,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:20.819,8.569,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:20.951,8.702,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:21.051,8.802,0,0.3018,0.0309,-0.0211,0.2995,-173.31,-2.80,-0.23
2025-10-21 20:26:21.156,8.906,0,0.3014,0.0304,-0.0215,0.2991,170.74,3.36,0.32
